Date,AAPL,CVX,IBM,XOM,GS,BA,MON,TEVA,CME
2012-08-14,606.37,106.05,191.5,84.15,100.7,70.7,83.88,38.52,47.34
2012-08-15,605.55,106.19,191.6,83.96,100.58,70.41,84.31,38.39,47.4
2012-08-16,610.84,106.9,193.96,84.6,100.93,70.96,85.95,38.53,48.15
2012-08-17,622.13,106.28,194.33,84.34,101.03,71.22,85.51,38.31,48.72
2012-08-20,638.49,106.15,193.63,83.91,102.67,71.14,85.12,38.6,48.61
2012-08-21,629.76,105.64,191.84,83.44,102.71,70.6,85.33,38.3,48.25
2012-08-22,642.06,105.8,190.49,83.7,102.08,70.15,85.69,38.28,48.21
2012-08-23,636.07,104.99,189,83.3,101.5,67.8,83.52,38.32,48.01
2012-08-24,636.64,105.67,190.99,84.01,102.36,68.5,83.05,38.31,48.32
2012-08-27,648.6,105.4,188.99,83.71,102.52,68.78,83.81,38.3,48.35
2012-08-28,647.75,105.99,188.19,84.06,102.88,68.92,84.63,38.07,48.64
2012-08-29,646.48,105.47,188.4,83.86,103.37,68.84,85.37,38.11,49
2012-08-30,637.26,104.65,186.75,83.2,102.58,68.24,84.83,37.5,49.08
2012-08-31,638.58,105.81,188.17,83.29,103.55,68.8,84.77,37.52,49.43
2012-09-04,647.92,104.92,187.88,83.12,104.23,68.29,84.29,37.63,49.8
2012-09-05,643.37,104.5,188.36,83.32,107.69,69.3,85.2,37.45,49.8
2012-09-06,649.16,106.63,192.28,84.9,111.21,70.17,87.03,37.77,51.19
2012-09-07,653.17,107.54,192.67,85.79,113.95,70.24,86.99,38.31,53.01
2012-09-10,636.18,107.51,194.07,85.37,112.33,68.49,87.02,38.5,53.2
2012-09-11,634.11,107.71,196.31,85.51,114.3,68.68,87.09,38.49,53.17
2012-09-12,642.94,108,196.79,85.44,115.82,68.38,85.62,38.22,53.49
2012-09-13,655.61,109.96,199.29,87.04,118.2,68.98,87.48,38.55,53.87
2012-09-14,663.57,110.61,199.73,88.06,118.87,68.69,86.58,38.58,53.45
2012-09-17,671.73,110.51,200.05,87.69,117.44,67.38,86.68,37.87,53.3
2012-09-18,673.78,110.35,199.98,87.44,117.42,67.89,86.67,38.19,53.01
2012-09-19,673.96,110,199.36,86.41,116.58,67.36,88.71,37.96,52.39
2012-09-20,670.7,111.18,199.12,87.32,115.22,67.31,88.61,37.98,52.68
2012-09-21,672.03,111.13,198.92,87.7,114.33,67.42,88.48,37.94,52.64
2012-09-24,663.1,111.11,198.26,87.66,114.21,67.48,88.59,38.13,52.54
2012-09-25,646.54,110.31,197.96,87.53,111.18,66.86,88.02,38.86,51.85
2012-09-26,638.52,109.71,197.01,87.04,110.76,67.69,87.08,38.48,51.99
2012-09-27,654.01,110.56,198.86,87.59,112.87,67.55,88.9,39.08,52.1
2012-09-28,640.36,109.96,200.34,87.25,111.35,67.07,88.57,39.25,52
2012-10-01,632.96,110.61,203.26,87.59,114.47,67.46,87.96,38.96,51.83
2012-10-02,634.8,111.28,202.65,87.51,114.85,67,88.49,39.07,51.84
2012-10-03,644.54,109.56,203.3,87.49,115.49,67.32,86.56,38.67,51.8
2012-10-04,640.07,110.51,203.18,87.99,117.44,67.4,88.57,38.42,52.22
2012-10-05,626.43,110.85,203.38,88.3,116.87,68.31,89.08,38.03,52.21
2012-10-08,612.59,110.96,202.63,88.43,117.01,68,89.55,38.24,52.2
2012-10-09,610.36,110.71,200.86,87.9,117.18,68.07,88.44,37.62,51.71
2012-10-10,615.22,106.08,198.77,86.85,117.62,67.78,87.26,37.58,51.67
2012-10-11,602.93,106.66,198.71,86.98,119.49,68.25,86.47,37.43,51.36
2012-10-12,604.47,105.72,200.68,86.85,117.74,69.24,86.55,37.39,51.17
2012-10-15,609.32,106.43,201.77,87.31,121.95,69.62,87.14,37.4,51.61
2012-10-16,623.75,107.63,203.77,88.14,120.7,70.81,88.41,38.13,52.18
2012-10-17,618.77,108.66,193.76,89.1,122.36,70.95,87.58,38.67,52.55
2012-10-18,607.28,108.16,188.28,89.19,122.59,71.56,87.92,39.25,52.34
2012-10-19,585.4,106.96,186.74,87.92,121.09,71.32,86.66,38.38,51.29
2012-10-22,608.62,106.35,187.74,87.96,120.26,71.02,86.84,38.7,51.41
2012-10-23,588.78,103.18,184.7,86.04,116.56,70.17,84.94,38.03,51.27
2012-10-24,592.11,103.5,184.19,85.75,117.32,70.06,84.51,38.51,51.33
2012-10-25,585.11,104.68,185.04,86.28,117.27,68.94,84.51,38.62,49.92
2012-10-26,579.79,104.88,186.65,86.46,116.99,68.52,84.62,38.29,50.3
2012-10-31,571.46,104,187.87,86.98,119.88,67.88,84.1,38.31,50.77
2012-11-01,572.63,105.15,190.4,87.39,122.29,68.21,84.86,39.16,51.26
2012-11-02,553.68,102.23,186.8,86.13,120.73,67.5,83.91,39.33,50.57
2012-11-05,561.19,103.01,187.49,86.47,121.54,67.85,86.04,39,50.96
2012-11-06,559.49,104.11,188.39,87.4,123.66,69.4,86.92,38.83,51.17
2012-11-07,538.08,101.42,185.42,84.66,115.56,67.97,85.35,38.56,50.44
2012-11-08,518.55,99.87,184.39,83.59,112.91,68.82,84.36,38.25,49.68
2012-11-09,527.53,99.85,183.94,83.73,113.77,71.02,84.45,38.09,49.3
2012-11-12,523.45,99.93,183.57,83.83,114.84,71.45,83.64,38.11,49.32
2012-11-13,523.52,99.32,182.66,83.02,114.08,71.13,83.24,37.66,48.98
2012-11-14,517.72,97.53,179.94,82.63,111.9,69.12,81.92,36.85,48.62
2012-11-15,506.86,96.69,180.27,82.7,113.08,68.88,82.72,36.85,49.09
2012-11-16,508.84,97.43,181.33,83,113.47,68.61,83.28,36.53,49.23
2012-11-19,545.54,99.29,184.63,84.17,115.88,69.77,86.31,36.98,49.42
2012-11-20,540.89,98.54,183.52,84.01,115.67,70.33,87.19,37.65,49.56
2012-11-21,541.65,99.05,184.58,84.5,115.29,70.92,87.35,37.53,49.41
2012-11-23,551.1,100.35,187.68,85.53,117.85,71.49,88.51,37.88,49.6
2012-11-26,568.49,99.9,187.09,85.08,118.46,72.01,89.11,38.27,50.17
2012-11-27,563.91,98.37,185.49,83.86,115.98,72.22,88.73,38.66,49.28
2012-11-28,562.13,100.46,186.21,84.58,117.38,71.83,89.22,38.69,49.83
2012-11-29,568.32,100.66,185.78,84.6,116.79,71.86,89.98,38.37,50.06
2012-11-30,564.39,100.56,184.36,84.62,115.87,72.02,89.5,38.49,50.17
2012-12-03,565.27,99.58,183.79,84.11,116.47,71.77,87.39,38.69,50.44
2012-12-04,555.29,98.92,183.67,83.71,114.68,71.79,87.16,39.53,49.61
2012-12-05,519.56,100.07,182.98,84.23,115.22,71.62,87.55,39.57,49.67
2012-12-06,527.71,101.29,184,84.49,115.29,71.73,87.91,40.01,50.37
2012-12-07,514.22,101.8,186.19,85.06,114.67,72.37,88.62,40.47,50.3
2012-12-10,510.91,101.77,186.84,84.88,115.1,73.23,88.48,40.56,49.48
2012-12-11,522.06,102.51,188.37,85.44,116.92,73.51,88.99,39.75,48.44
2012-12-12,519.76,102.84,187.16,85.88,116.16,73.17,87.7,37.65,48.32
2012-12-13,510.78,102.68,186.22,85.04,116.56,72.06,87.45,37.05,48.05
2012-12-14,491.59,102.59,186,84.56,117.41,71.77,87.09,36.35,48.07
2012-12-17,500.31,103.41,187.81,85.32,121.47,72.38,88.6,36.62,48.43
2012-12-18,514.84,104.76,189.81,85.98,125.68,73.22,89.99,36.79,49.18
2012-12-19,507.52,104.58,189.22,84.91,125.17,73.21,89.58,36.51,49.38
2012-12-20,503.11,105.03,188.92,85.34,127.6,73.88,90.42,36.25,48.23
2012-12-21,500.79,104.39,187.61,83.75,126.34,73.85,90.43,36.22,47.61
2012-12-24,501.6,103.36,186.62,83.45,125.46,73.66,90.68,36.05,47.7
2012-12-26,494.69,103.2,186.19,83.59,125.08,73.7,91.95,35.7,47.62
2012-12-27,496.67,103.26,186.92,83.39,124.6,73.52,91.84,35.25,47.25
2012-12-28,491.4,101.29,184.13,81.7,123.47,72.42,90.95,35.49,47.03
2012-12-31,513.17,102.89,185.8,83.09,125.48,73.06,92.49,35.62,47.55
2013-01-02,529.43,105.04,190.45,85.17,129.51,74.72,94.33,35.48,48.17
2013-01-03,522.75,104.59,189.41,85.01,128.8,75.11,93.53,35.9,48.38
2013-01-04,508.19,105.14,188.16,85.41,132.31,75.32,94.29,36.29,50.45
2013-01-07,505.2,104.43,187.34,84.42,132.07,73.81,94.12,36.31,50.19
2013-01-08,506.56,103.96,187.08,84.95,130.88,71.87,96.63,36.49,49.64
2013-01-09,498.64,104.23,186.54,84.62,132.13,74.42,97.69,36.61,49.6
2013-01-10,504.82,105.11,187.09,85.54,135.13,74.74,97.58,37,50.03
2013-01-11,501.73,106.31,188.61,86.03,134.89,72.87,98.18,36.31,50.69
2013-01-14,483.84,107.38,186.84,86,133.91,74.22,98.68,36.33,50.98
2013-01-15,468.57,107.94,186.72,85.95,133.38,74.6,99.52,36.46,51.36
2013-01-16,488.02,108.44,186.81,85.9,138.79,72.08,99.97,36.04,51.41
2013-01-17,484.74,109.17,187.83,86.6,138.71,72.97,99.4,36.24,52.06
2013-01-18,482.15,109.65,188.63,87.17,142.09,72.75,100.53,35.98,52.08
2013-01-22,486.75,110.29,190.19,87.29,143.57,71.9,100.47,36.17,53.12
2013-01-23,495.66,109.43,198.57,87.08,143.18,72.03,101.12,36.25,53.34
2013-01-24,434.42,109.9,198.28,87.7,142.59,73.03,101.65,36.17,53.75
2013-01-25,424.18,110.56,198.81,88.07,142.1,72.74,101.49,35.99,54.14
2013-01-28,433.77,110.41,198.78,87.47,141.8,71.75,100.9,35.92,54.1
2013-01-29,441.91,111.52,197.78,88.1,144.7,71.41,100.95,35.63,54.35
2013-01-30,440.52,110.8,197.41,87.05,144.75,72.32,100.78,35.67,54.54
2013-01-31,439.23,109.56,196.97,86.38,145.45,71.62,99.43,36.24,54.27
2013-02-01,437.43,110.85,199.02,86.44,147.45,72.59,100.33,36.01,55.4
2013-02-04,426.53,109.61,197.67,85.59,145.11,72.92,99.42,35.98,54.69
2013-02-05,441.5,110.19,196.7,86.16,147.99,73.58,100.08,36,55.53
2013-02-06,441.02,110.29,195.8,86.2,148.65,73.97,99.78,36.4,53.23
2013-02-07,454.14,109.44,194.56,85.27,147.81,75.07,98.66,36.21,53.39
2013-02-08,460.69,110.03,196.45,85.61,149.12,74.23,99.23,36.9,53.74
2013-02-11,465.5,110.03,194.97,85.3,149.75,73.56,100.18,36.78,53.42
2013-02-12,453.83,110.85,194.85,85.47,151.59,73.68,99.84,37.15,53.67
2013-02-13,452.96,110.78,194.9,85.67,152,72.97,100.86,36.95,53.73
2013-02-14,452.56,110.95,194.47,85.53,153.38,73.11,100.06,37.13,54.84
2013-02-15,446.32,110.24,195.76,85.37,152.46,73.21,101.55,36.58,54.91
2013-02-19,446.16,111.16,195.12,86.3,156.06,72.84,99.96,36.91,55.31
2013-02-20,435.35,110.26,194.14,85.96,152.65,72.97,96.79,36.77,54.44
2013-02-21,432.64,110.26,193.18,85.6,148.42,74.17,96.84,36.64,54.07
2013-02-22,437.25,111.19,195.87,86.18,151.57,74.8,98.08,36.62,54.71
2013-02-25,429.48,108.87,192.38,84.74,145.24,73.21,96.23,36.14,54.22
2013-02-26,435.47,110.24,193.97,85.52,146.08,73.82,97.32,36.12,55.34
2013-02-27,431.2,111.86,197.08,86.5,149.68,75.49,98.5,36.03,56.32
2013-02-28,428.12,112.34,195.62,86.52,147.82,75.04,99.11,35.97,55.99
2013-03-01,417.52,112.1,197.64,86.41,148.58,75.41,99.73,35.83,56.22
2013-03-04,407.42,112.66,199.87,85.94,150.2,75.22,99.69,35.83,57.13
2013-03-05,418.17,113.08,201.17,86.58,150.97,76.75,100.82,36.67,57.83
2013-03-06,412.86,113.6,202.97,86.53,152.13,77.16,100.35,38.12,58.61
2013-03-07,417.63,113.69,203.99,85.71,154.59,79.09,100.96,38.08,58.35
2013-03-08,418.74,113.7,204.92,85.96,150.99,79.26,101.39,38.63,58.93
2013-03-11,424.7,113.85,204.63,86.15,151.31,80.93,102.24,38.71,59.16
2013-03-12,415.54,113.39,205.09,86.15,149.88,82.12,101.42,38.98,59.08
2013-03-13,415.47,113.5,206.56,86.24,149.94,82.7,101.67,39.22,59.1
2013-03-14,419.49,115.07,210.2,86.79,152.02,82.57,102.12,39.49,59.63
2013-03-15,430.32,114.76,209.34,86.35,152.83,84.34,102.26,39.26,59.68
2013-03-18,442.01,114.23,207.68,85.77,149.98,83.12,100.69,38.84,59.15
2013-03-19,440.82,114.55,207.9,85.59,146.91,83.44,100.36,38.46,57.79
2013-03-20,438.48,115.4,209.48,85.63,148.18,83.3,101.16,38.47,58.63
2013-03-21,439.11,115.39,206.75,85.19,143.49,82.29,99.13,38.67,57.59
2013-03-22,448.02,116.2,206.58,86.27,144.7,82.76,99.4,38.49,58.25
2013-03-25,449.64,115.24,205.27,86.01,144.21,82.79,97.51,38.46,57.93
2013-03-26,447.27,116.01,206.85,87.08,144.64,84.52,101.82,38.46,58.19
2013-03-27,438.48,115.25,205.42,87.52,145.92,84.11,103.13,37.99,58
2013-03-28,429.35,113.94,207.77,87.06,145.24,83.77,103.63,38.16,58.05
2013-04-01,416.01,114.69,206.87,87.7,144.14,83.18,103.78,38.06,57.59
2013-04-02,416.86,114.11,208.8,87.52,144.78,82.05,102.03,38.04,57.28
2013-04-03,419,112.94,207.14,86.89,141.55,82.32,102.9,38.2,56.75
2013-04-04,414.86,113.22,205.83,86.74,141.13,82.89,104.11,37.87,56.72
2013-04-05,410.47,112.69,203.98,86,141.82,84.08,103.48,37.72,56.18
2013-04-08,413.39,112.97,203.89,85.61,141.95,84.65,103.58,37.41,56.95
2013-04-09,414.14,113.76,203.79,85.77,144.62,85.1,103.64,37.31,56.68
2013-04-10,422.59,114.72,206.5,85.68,147.52,85.69,104.02,37.54,56.92
2013-04-11,421.27,115.98,207.4,86.2,147.13,86.38,105.45,37.86,57.46
2013-04-12,416.87,115.01,205.89,85.98,147.18,86.74,103.82,37.65,57.17
2013-04-15,407.22,111.78,203.83,83.57,144.56,84.67,101.51,37.19,55.62
2013-04-16,413.42,112.2,206.5,83.68,142.23,84.78,103.74,37.17,56.19
2013-04-17,390.69,110.09,204.23,83.17,138.77,84.59,102.19,36.92,55.51
2013-04-18,380.26,110.84,201.77,83.69,136.8,84.03,100.54,36.68,55.32
2013-04-19,378.78,111.14,185.07,84.49,136.92,85.83,101.63,36.45,55.78
2013-04-22,386.68,111.78,182.96,85.11,137.71,84.83,101.85,36.43,56.98
2013-04-23,393.92,112.65,186.64,86.28,141.08,86.04,102.15,36.42,56.58
2013-04-24,393.27,113.42,186.74,86.41,142.06,88.63,102.56,37.18,56.87
2013-04-25,396.1,113.64,188.92,85.09,142.88,89.45,104.3,36.78,57.69
2013-04-26,404.65,115.11,189.27,85.03,142.24,90.6,103.07,37.08,57.44
2013-04-29,417.18,116.33,193.98,85.23,143.23,89.67,104.86,37.26,57.51
2013-04-30,429.46,117,197.28,85.98,144.17,89.2,105.17,36.83,57.53
2013-05-01,426.08,115.33,194.45,84.55,140.76,88.97,103.09,36.64,56.84
2013-05-02,432.12,117.02,197.14,85.63,141.8,89.98,104.47,36.36,57.09
2013-05-03,436.45,118.42,199.2,86.98,143.48,91.47,105.63,37.03,57.32
2013-05-06,446.85,118.18,197.52,87.52,146.52,91.91,105.54,36.85,57.62
2013-05-07,444.87,117.98,198.35,88.07,147.38,92.49,106.2,36.88,57.17
2013-05-08,449.89,118.29,200.44,88.6,148.31,92.23,106.62,36.95,57.38
2013-05-09,445.96,118.56,198.89,88.56,146.61,92.79,105.8,37.38,57.43
2013-05-10,442.25,118.17,200.1,87.7,147.16,92.43,106.45,37.4,59.1
2013-05-13,443.98,117.8,198.14,87.66,147.69,92.94,105.18,37.74,59.43
2013-05-14,433.36,119.86,198.86,88.64,152.51,94.26,105.99,38.28,60.22
2013-05-15,418.71,118.91,198.97,88.77,153.59,95.16,107.54,38.42,60.53
2013-05-16,424.3,118.66,200.31,88.24,152.46,94.72,106.01,38.74,60.71
2013-05-17,423.01,119.3,203.98,89.27,156.13,97.02,106.71,39.01,61.6
2013-05-20,432.45,120.62,203.16,90.01,156.84,96.82,106.64,38.97,61.69
2013-05-21,429.26,121.74,204.19,90.28,158.64,96.85,104.95,38.99,60.8
2013-05-22,430.91,120.76,202.56,89.69,157.27,96.05,102.44,38.15,59.62
2013-05-23,431.68,121.22,201.75,89.3,155.37,97.83,103.37,38.29,60.62
2013-05-24,434.62,121.26,201.32,89.05,156.66,98.08,103.21,38.14,61.01
2013-05-28,431,122.21,203.34,89.87,159.11,98.19,103.92,37.97,61.9
2013-05-29,434.42,121.3,203.47,89.58,161.26,97.19,103.79,37.64,63.92
2013-05-30,440.9,120.94,204.88,89.59,162.73,98.61,103.35,37.65,65.96
2013-05-31,439.09,118.65,203.57,88.02,160.48,97.12,99.09,37.04,64.21
2013-06-03,440.06,119.95,204.48,88.98,161.95,98.8,100.51,37.33,65
2013-06-04,438.68,118.86,201.78,88.33,160.08,97.7,100.54,37.02,65.38
2013-06-05,434.58,117.51,198.4,87.22,156.74,96.6,97.38,36.87,65.48
2013-06-06,428.09,116.57,199.44,87.78,158.1,97.84,97.2,37.67,65.57
2013-06-07,431.36,117.64,201.94,88.97,164.37,100.52,100.08,38.29,68.5
2013-06-10,428.51,118.6,200.64,88.65,165.84,100.28,104.61,38.78,69.46
2013-06-11,427.25,117.4,199.62,88.01,161.7,99.8,102.9,38.62,68.87
2013-06-12,421.97,115.97,196.9,87.31,160.26,98.94,101.86,37.89,68.77
2013-06-13,425.65,117.6,199.41,88.85,164.18,100.2,103.81,38.19,70.54
2013-06-14,419.88,116.27,197.88,88.12,161.31,99.87,104,37.89,70.68
2013-06-17,421.78,117.18,198.7,89.03,162.49,101.05,103.2,38.12,72.68
2013-06-18,421.56,117.47,200.49,89.44,162.53,102.08,104,38.43,73.53
2013-06-19,412.99,116.48,197.62,88.53,159.97,100.29,104.26,38.1,72.27
2013-06-20,406.98,114.01,193.13,86.64,153.88,97.73,101.85,37.7,73.34
2013-06-21,403.72,114.96,191.28,87.05,152.73,98.06,101.6,37.56,73.06
2013-06-24,393.02,112.92,189.4,86.08,149.29,95.97,100.13,37.11,72.36
2013-06-25,393.11,113.53,190.81,86.69,151.55,96.77,99.84,37.38,72.67
2013-06-26,388.65,114.21,190.69,87.36,150.16,98.81,99.28,37.42,72.6
2013-06-27,384.46,114.75,191.47,87.6,152,101.17,97.23,37.6,72.8
2013-06-28,387.15,114.39,187.02,87.9,149.76,100.47,97.28,38.01,72.26
2013-07-01,399.54,115.11,187.19,87.85,150.25,101.26,95.47,37.82,72.79
2013-07-02,408.59,115.17,187.41,88.18,149.43,99.52,97.28,37.85,71.55
2013-07-03,410.85,115.11,189.12,88.23,148.95,100.91,96.75,37.54,72.03
2013-07-05,407.55,116.49,190.76,89.09,151.73,102.2,97.56,37.75,73.84
2013-07-08,405.23,117.2,190.81,89.75,152.29,102.36,98.04,37.99,73.53
2013-07-09,412.36,119.16,187.21,90.81,155.39,102.67,100.22,37.82,72.97
2013-07-10,410.78,118.8,188.14,90.3,154.29,103.47,100.31,37.59,72.74
2013-07-11,417.18,119.64,188.68,90.74,156.15,104.83,102.14,37.97,73.02
2013-07-12,416.42,119.92,187.96,90.87,158.53,99.91,101.76,38.36,73.58
2013-07-15,417.33,120.52,189.85,90.72,161.39,103.63,102.07,38.64,73.37
2013-07-16,420.02,119.98,189.7,90.77,158.66,102.23,100.4,38.21,72.58
2013-07-17,420.13,120.2,190.39,90.93,159.91,102.78,101.75,38.53,72.34
2013-07-18,421.55,121.28,193.76,91.82,162.44,105.56,101.83,38.78,72.69
2013-07-19,414.9,122.68,189.4,92.59,162.74,104.91,102.95,38.88,71.12
2013-07-22,416.23,122.79,189.94,92.26,164.61,104.81,102.72,39.35,70.14
2013-07-23,409.08,123.01,190.81,92.62,164.62,105.72,102.69,39.98,70.1
2013-07-24,430.09,122.15,192.41,92.41,163.41,104.9,100.56,40.01,70.05
2013-07-25,428.13,123.5,193,92.39,164.27,104.65,99.54,40,70.25
2013-07-26,430.56,123.3,193.13,92.22,163.63,103.57,99.34,39.49,70.21
2013-07-29,437.2,121.96,192.01,91.48,161.56,102.8,100.38,38.69,70.74
2013-07-30,442.6,121.58,191.82,91.27,160.83,103.7,99.26,38.32,70.54
2013-07-31,441.82,121.69,190.87,91.21,162.41,103.08,97.63,38.49,70.46
2013-08-01,445.88,122.22,191.62,90.22,165.84,104.65,96.24,38.22,68.66
2013-08-02,451.6,120.78,190.99,89.46,165.97,105.83,96.33,37.72,68.79
2013-08-05,458.34,119.85,191.32,89.11,166.66,105.43,96.12,37.34,68.56
2013-08-06,454.24,119.03,186.91,88.99,163.15,104.98,93.92,37.28,68.87
2013-08-07,453.98,119.22,185.45,88.86,161.84,104.85,93.9,37.67,68.39
2013-08-08,453.08,118.96,184.83,89.29,161.23,104.28,96.21,37.96,68.71
2013-08-09,446.63,118.41,184.72,88.87,160.53,103.78,95.13,39.2,68.65
2013-08-12,459.32,117.74,185.97,88.06,160.09,102.7,94.57,38.59,68.07
2013-08-13,481.14,118.41,185.31,87.58,162.09,104.66,95.97,38.46,70.82
2013-08-14,489.92,117.98,184.44,87.14,161.73,102.62,95.89,38.64,70.36
2013-08-15,489.34,117.2,182.73,86.36,159.16,101.21,96.91,39.15,71.19
2013-08-16,493.69,116.84,182.28,86.12,159.07,101.94,93.89,39.15,69.79
2013-08-19,499,115.65,181.19,85.15,157.06,103.18,94.17,38.69,68.79
2013-08-20,492.45,115.29,181.52,85.06,157.99,103.09,94.77,38.24,68.87
2013-08-21,493.71,114.71,181.81,84.66,155.56,102.38,93.71,37.43,68.78
2013-08-22,494.3,115.29,182.14,85.21,157.84,103.59,95.13,37.59,69.13
2013-08-23,492.4,116.5,182.36,85.74,157.08,103.92,95.1,37.43,69.05
2013-08-26,494.31,115.82,181.69,85.31,156.34,103.97,96.52,37.89,68.44
2013-08-27,480.18,115.79,179.73,85.05,151.72,101.69,96.38,37.44,67.07
2013-08-28,482.45,118.72,179.16,87.03,151.96,101.75,95.99,37.34,67.33
2013-08-29,483.24,117.32,179.63,85.49,152.61,103.38,96.12,37.32,67.05
2013-08-30,478.84,117.37,179.26,85.38,151.12,102.39,96.75,37.35,67.66
2013-09-03,480.17,117.49,180.93,85.37,153.73,103.46,98.03,37.48,68.82
2013-09-04,490.11,117.79,180.11,85.97,154.71,104.8,99.73,37.55,70.07
2013-09-05,486.75,118.29,181.11,85.57,155.14,105.08,100.31,37.81,69.81
2013-09-06,489.65,118.13,180.01,85.47,155.62,104.51,98.73,37.67,69.34
2013-09-09,497.46,119.12,181.93,86.24,158.43,105.61,100.83,37.32,69.43
2013-09-10,486.13,119.89,183.52,86.03,164.05,106.57,101.54,37.19,70.1
2013-09-11,459.66,120.78,187.56,87.03,163.97,107.62,101.75,37.63,69.59
2013-09-12,464.56,120.75,187.58,86.19,162.27,108.18,101.79,38,69.61
2013-09-13,456.9,120.99,189,86.6,162.91,109.69,102.97,37.47,69.26
2013-09-16,442.37,120.93,189.96,86.86,165.92,113.96,104.47,37.02,68.67
2013-09-17,447.48,121.18,188.99,87.13,166.31,115.38,103.22,36.77,68.88
2013-09-18,456.68,122.63,191.21,87.75,166.95,116.65,106.04,36.86,67.85
2013-09-19,464.17,122.26,190.2,87.46,166.67,117.28,105.63,36.58,70.71
2013-09-20,459.37,121.75,186.89,86.85,168.63,114.91,104.82,36.87,71.37
2013-09-23,482.2,122.33,187.84,85.96,164.15,115.78,104.37,37.15,70.47
2013-09-24,480.68,121.33,186.84,85.58,161.89,117.25,104.19,37.84,69.91
2013-09-25,473.24,120.92,186.35,85.36,161.23,116.76,104.07,37.3,71.38
2013-09-26,477.85,120.36,187.08,85.29,161.21,117.62,104.91,37.07,72.09
2013-09-27,474.44,119.53,183.84,85.13,158.79,116.99,104.38,37.16,71.63
2013-09-30,468.55,118.42,182.13,84.29,157.16,115.77,103.16,36.92,70.72
2013-10-01,479.56,118.24,183.31,84.25,157.95,116.01,104.26,36.84,71.6
2013-10-02,481.13,117.76,181.91,84.32,157.62,116.1,103.25,36.76,70.81
2013-10-03,475.09,115.25,180.83,83.76,155.81,113.54,104.47,37.05,70.77
2013-10-04,474.72,115.13,181.06,84.56,155.51,115.47,104.83,37.59,71.8
2013-10-07,479.36,114.88,179.01,84.15,153.23,114.97,103.88,37.75,71.21
2013-10-08,472.66,113.77,175.77,83.77,152.04,113.74,102.43,37.9,69.35
2013-10-09,478.22,113.18,178.33,83.42,153.42,112.78,102.77,38.31,68.96
2013-10-10,481.21,113.43,181.72,84.29,156.96,117.15,104.39,39.67,71.32
2013-10-11,484.33,114.68,183.09,85.18,158.94,116.24,105.77,40.11,71.56
2013-10-14,487.5,115.57,183.89,85.81,158.4,117.7,105.9,39.45,72.13
2013-10-15,490.1,115.15,181.61,85.02,156.59,116.44,104.12,38.62,71.96
2013-10-16,492.49,116.14,183.65,85.53,161.17,118.57,104.54,38.97,73.22
2013-10-17,495.82,116.49,171.95,85.7,157.27,120.49,104.8,39.35,73.48
2013-10-18,500.13,116.61,170.91,85.76,157.64,120.71,104.94,39.09,73.55
2013-10-21,512.39,116.78,170.01,85.45,158.71,119.68,105.25,39.3,73.37
2013-10-22,510.92,117.58,172.08,86.19,158.19,120.67,106.67,39.47,74.41
2013-10-23,515.93,117.08,172.87,85.82,156.69,127.12,106.81,39.27,73.92
2013-10-24,522.76,117.5,174.87,86.62,158.9,127.08,106.5,39.41,73.68
2013-10-25,516.91,117.53,173.93,86.18,161.02,129.26,107.18,40.76,73.23
2013-10-28,520.76,117.84,174.43,86.43,160.38,127.96,107.38,40.1,71.96
2013-10-29,507.79,118.42,179.12,87.12,161.04,127.75,105.81,40.09,71.81
2013-10-30,515.87,117.25,177.18,87,160.98,127.77,105.15,36.85,71.75
2013-10-31,513.7,116.92,176.25,87.79,159.79,128.58,104.09,36.25,71.04
2013-11-01,511.08,115.02,176.27,87.99,160.98,131.07,104.36,36.28,71.51
2013-11-04,517.68,115.1,177.3,90.22,162.08,130.83,102.86,35.76,70.67
2013-11-05,516.41,115.44,174.92,90.11,160.88,131.6,102.44,36.13,70.51
2013-11-06,514.94,118.07,177.18,91.32,162.44,131.61,103.48,36.08,71.54
2013-11-07,506.61,116.87,177.98,90.7,158.58,130.04,103.21,36.17,71.47
2013-11-08,514.59,118.11,177.97,91.46,162.09,132,106.41,36.43,74.49
2013-11-11,513.1,118.01,180.83,91.68,162.75,131.05,105.7,36.42,74.61
2013-11-12,514.04,116.95,181.02,91.4,161.81,130.85,107.69,36.89,75.21
2013-11-13,514.66,117.04,181.49,91.32,161.86,131.68,109.16,37.52,75.27
2013-11-14,522.1,117.5,180.17,91.94,162.12,133.58,109.63,37.48,75.47
2013-11-15,518.97,118,181.14,93.96,163.31,134.56,110.22,37.41,76.16
2013-11-18,512.68,118.49,182.4,94.14,164.58,136.82,109.91,37.66,76.36
2013-11-19,513.59,119.96,183.17,94.11,165.5,135.45,109.61,38.41,77.67
2013-11-20,509.09,119.9,183.11,93.38,163.91,130.97,109.07,39.92,77.94
2013-11-21,515.16,121.34,182.07,93.39,165.96,131.45,111.06,39.43,80.01
2013-11-22,513.84,121.9,179.27,93.71,166.99,134.45,113,40.05,80.27
2013-11-25,517.73,121.61,176.93,93.78,168.36,131.52,112.56,39.85,78.78
2013-11-26,527.28,120.67,175.32,92.98,166.93,133.28,113.05,40.12,78.45
2013-11-27,539.7,120.32,176.96,92.51,167.65,133.22,113.03,40.12,78.79
2013-11-29,549.69,120.33,177.67,92.2,168.37,132.75,112.47,40.18,78.45
